Nome Articolo	Fornitore Greggio	IDCOLL
ABBOT ACC. LIGHT	Taborelli	CV
ABBOT ACC. REPS	Taborelli	CV
ABBOT IN SEMPLICE	Taborelli	CV
ABRAM ACTIVE	Corti	CV
ABRAM DAVISON	Corti	CV
ABRAM KYKO	Beccalli	CV
ABRAM PLAYGROUND	Corti	CV
ABRIL	Taborelli	CV
ACKLEY ACC. TELA	Tat	CV
ACKLEY ACC.LIGHT	Tat	CV
ACKLEY IN SEMPLICE	Tat	CV
ACTIVE  ACC. TELA  NO IDRO	Corti	CSP
ACTIVE ACC DENIM	Corti	CE09
ACTIVE ACC. DENIM RESINATO	Corti	CSP
ACTIVE ACC. PANAMA CITY NERO	Corti	CSP
ACTIVE ACC. TELA + IDRO	Corti	
ACTIVE ACC.TELA FERMO FILO NERO GIARDINI	Corti	CSP
ACTIVE FIN. CARBONE TELA	Corti	CSP
ACTIVE FIN.CARBONE  SEMPLICE	Corti	CSP
ACTIVE LIGHT	Corti	CCL
ACTIVE LIGHT + IDRO	Corti	CSP
ACTIVE PRONTO TINTA	Corti	CSP
ACTIVE REPS IDRO	Corti	CCL
ACTIVE RESINATO + DIRITTO FILO + IDRO	Corti	CSP
ACTIVE RESINATO EXPERT	Corti	CCL
ACTIVE RESINATO PROVA 1	Corti	CSP
ACTIVE RESINATO PROVA 2	Corti	CSP
ACTIVE SCHIUMATO	Corti	CSP
ACTIVE SCUBA	Corti	CCL
ACTIVE SEMPLICE	Corti	CCL
ACTIVE SOFT	Corti	CCL
ACTIVE TELA  BEROFIN	Corti	CCL
ACTIVE TELA + OLUVELI	Corti	
ACTIVE TELA EXPERT + WR PIENO BAGNO BEROFIN -BALLY	Corti	
ACTIVE TELA EXPERT+ WR A CASCATA BEROFIN  BALLY	Corti	
ADAM ACC. LIGHT	My Way	CV
ADAM ACC. REPS	My Way	CV
ADAM ACC. TELA	My Way	CV
ADAM ACC. TELA PRONTO TINTA	My Way	CV
ADAM IN SEMPLICE	My Way	CV
ADAM METAL LIGHT	My Way	CV
ADJAN	Lange	CV
ADONIS ACC. STRETCH VAR.01 ARGENTO	Piave	CV
ADONIS ACC. STRETCH VAR.02 ORO	Piave	CV
AFRICAN REPS	Santi	CV
AFRICAN SEMPLICE	Santi	CV
AFRICAN SOFT	Santi	CV
AFROMAN	Ambiente Uomo	CV
AFROMAN V.2/3	Ambiente Uomo	CV
AGLAS	Toia	CV
AIR BALL DENIM	Tat	CV
AIR BALL REPS	Tat	CV
AIR BALL STRETCH	Tat	CV
AIR BLUE SEMPLICE	Clementi	CV
AIR BLUE SOFT	Clementi	CV
AIR BLUE SPALMATO	Clementi	CV
AIR BLUE TELA	Clementi	CV
AIR KAT IN SEMPLICE	Tex Fation	CV
AIR KAT SOFT	Tex Fation	CV
AIR KAT SPALMATO	Tex Fation	CV
AIR KAT TELA	Tex Fation	CV
AIR TANK ACC LIGHT	Taborelli	CI09/10
AIR TANK IN SEMPLICE	Taborelli	CI09/10
AIR TANK REPS	Taborelli	CI09/10
AIR TANK RESINATO EXPERT	Taborelli	
AIR TEX	Corti	CV
AISHA  VAR.2 ORO	Piave	CV
AISHA VAR.1 ARGENTO	Piave	CV
AJAY IN SEMPLICE	Mariani cinese	CV
AJAY REPS	Mariani cinese	CV
AJAY SOFT	Mariani cinese	CV
AJAY STRETCH	Mariani cinese	CV
AKA	Corti	CV
AKASH ACC. LIGHT	Lange	CV
AKASH ACC. TELA	Lange	CV
AKASH IN SEMPLICE	Lange	CV
AKASH RESINATO	Lange	CV
AKEEM	Heat Coat	CV
AKIL ACC. LIGHT	Ambiente Uomo	CV
AKIL ACC.REPS	Ambiente Uomo	CV
AKIL IN SEMPLICE	Ambiente Uomo	CV
AKIR LIGHT	Corti	CV
AKIR RESINATO	Corti	CV
AKIR SEMPLICE	Corti	CV
AKIR TELA	Corti	CV
AKLYS	Lange	CV
AKYA	Riedel Textil	CV
ALEX  IN SEMPLICE	Uco	CV
ALEX ACC. TELA	Uco	CV
ALEXYS	Taborelli	CV
ALLEN  COLORATO	Corti	CV
ALLEN COL.NERO	Corti	CV
ALLEN SEMPLICE	Griffine	CV
ALLEN STRETCH	Griffine	CV
ALLEN TELA	Griffine	CV
ALLISON LIGHT	Corti	CV
ALLISON RESINATO	Corti	CV
ALLISON SEMPLICE	Corti	CV
ALLISON SOFT	Corti	CV
ALLISON TELA	Corti	CV
ALLJEANS	Transatex	CV
ALMA	Mariani cinese	CV
ALMA  ACC. REPS	Frigerio	CV
ALMA ACC. LIGHT	Frigerio	CV
ALMA IN SEMPLICE	Frigerio	CV
ALONZO	Lange	CV
AMAYA DENIM	Ripa	CV
AMAYA IN SEMPLICE	Ripa	CV
AMAYA SCUBA	Ripa	CV
AMAYA STERTCH	Ripa	CV
AMBER REPS	My Way	CV
AMBER RESINATO	My Way	CV
AMBER SEMPLICE	My Way	CV
AMBER SOFT	My Way	CV
AMISH  ACC. TELA	Lange	CV
AMISH ACC. LIGHT	Lange	CV
AMISH IN SEMPLICE	Lange	CV
AMISH RESINATO	Lange	CV
AMOS	Ambiente Uomo	CV
AMOUR BIANCO	Miti	CV
AMOUR COLORATO	Miti	CV
AMOUR NERO	Miti	CV
ANANSI	Corti	CV
ANARKY	Tex Fation	CV
ANDRES BIANCO	Miti	CV
ANDRES COLORATI	Miti	CV
ANDRES NERO	Miti	CV
ANIMALIER	Furpile Maglia	CI 11/12
ANTIGUA IN SEMPLICE	Lange	CCL
ANTIGUA LIGHT	Lange	CCL
ANTIGUA TELA	Lange	CCL
ANTIK	Dalmatex	CV
ANTIK STRETCH	Dalmatex	CV
ANUK REPS	Redaelli	CV
ANUK SEMPLICE	Redaelli	CV
ANUK SOFT	Redaelli	CV
APASIO	Sat idea	CV
APASIO ACC. LIGHT	Taborelli	CV
APASIO ACC. REPS	Taborelli	CV
APASIO IN SEMPLICE	Taborelli	CV
AQUAGOM	Clerprem	CV
AQUASMOKE	Clerprem	CV
AR 64 SEMPLICE PE 12	Ricamificio 2G	CE 12
ARCHY RESINATO	My Way	CV
ARCHY SEMPLICE	My Way	CV
ARCHY SOFT	My Way	CV
ARCHY TELA	My Way	CV
ARROW	Namsan Technology	CV
ART 15 BIANDOLINO	Taborelli	CSP
ART PA/ COT ACC DENIM + IDRO	Raion Inveruno	CSP
ART. STAR SERATA NERO PER GUCCI LIGHT +IDRO	Taborelli	CSP
ART. STAR SERATA NERO PER GUCCI RESINA +IDRO	Taborelli	CSP
ART.16+16/BIS+16/3	Taborelli	CSP
ARTICOLO 1 IN SEMPLICE	Manifattura Baroli	CSP
ARTICOLO 2 IN SEMPLICE	Manifattura Baroli	CSP
ARTICOLO 3 IN SEMPLICE	Manifattura Baroli	CSP
ARTICOLO 4 IN SEMPLICE	Manifattura Baroli	CSP
ARTICOLO LANGE X STAMPERIA LUCE	Lange	CSP
ARTLAB REPS	Star	CV
ARTLAB RESINATO	Star	CV
ARTLAB SEMPLICE	Star	CV
ARTLAB SOFT	Star	CV
ARUBA ACC. LIGHT	My Way	CV
ARUBA ACC. TELA	My Way	CV
ARUBA IN SEMPLICE	My Way	CV
ASHAN REPS	Redaelli	CV
ASHAN RESINATO	Redaelli	CV
ASHAN SEMPLICE	Redaelli	CV
ASHAN SOFT	Redaelli	CV
ASHANTI ACC. LIGHT	Ambiente Uomo	CV
ASHANTI ACC. REPS	Ambiente Uomo	CV
ASHANTI IN SEMPLICE	Ambiente Uomo	CV
ASHE	Mariani cinese	CV
ASHLIN ACC. LIGHT	Namsan Technology	CV
ASHLIN ACC. REPS	Namsan Technology	CV
ASHLIN ACC. TELA	Namsan Technology	CV
ASHLIN IN SEMPLICE	Namsan Technology	CV
ASHMIR ACC REPS + IDRO EUROFINISS	Redaelli	CSP
ASHMIR ACC. LIGHT	Redaelli	CCL
ASHMIR ACC. REPS STAMPA FERRADINI	Redaelli	CSP
ASHMIR REPS	Redaelli	CCL
ASHMIR REPS COLORE AL CAMP.CLIENTE	Redaelli	CSP
ASHMIR RESINATO	Redaelli	CCL
ASHMIR SEMPLICE	Redaelli	CCL
ASHMIR SOFT	Redaelli	CCL
ASHMIR SOFT COLORE AL CAMP.CLIENTE	Redaelli	CSP
ASPEN ACC LIGHT	Taborelli	CI09/10
ASPEN ACC REPS	Taborelli	CI09/10
ASPEN ACC TELA	Taborelli	CI09/10
ASPEN IN SEMPLICE	Taborelli	CI09/10
ASPHALT SEMPLICE	Griffine	CV
ASPHALT STRETCH	Griffine	CV
ASPHALT TELA	Griffine	CV
ASTRAKAN REPS	Molteni	CV
ASTRAKAN SEMPLICE	Molteni	CV
ASTRAKAN SOFT	Molteni	CV
ASTRAKAN SPALMATO	Molteni	CV
ASTRALAND ACC. LIGHT	Taborelli	CV
ASTRALAND ACC. TELA	Taborelli	CV
ASTRALAND IN SEMPLICE	Taborelli	CV
ASTRAWORLD	Taborelli	CV
ATHLETIC DENIM	Borgini	CV
ATHLETIC SEMPLICE	Borgini	CV
ATHLETIC SOFT	Borgini	CV
ATHLETIC SPALMATO	Borgini	CV
ATHLETIC TELA	Borgini	CV
ATOM	Tat	CSP
ATTY	Perlini	CV
AVIATOR + GARDEN	Miti	CV
AVIATOR ACC. REPS	Miti	CV
AVIATOR IN SEMPLICE	Miti	CV
AVIATOR LIGHT	Miti	CV
AVIATOR MONTY	Miti	CV
AVIATOR TELA	Miti	CV
AWAYAN LIGHT	Beccalli	CV
AWAYAN REPS	Beccalli	CV
AWAYAN RESINATO	Beccalli	CV
AWAYAN SEMPLICE	Beccalli	CV
AYAKO REPS	Mariani cinese	CV
AYAKO SEMPLICE	Mariani cinese	CV
AYAKO SOFT	Mariani cinese	CV
AYAKO SPALMATO	Mariani cinese	CV
AYAKO TELA	Mariani cinese	CV
AYASHI LOFT	Griffine	CV
AYASHI SEMPLICE	Griffine	CV
AYOMI	Ambiente Uomo	CV
BABY JAM ACC. LIGHT	Taborelli	CV
BABY JAM ACC. REPS	Taborelli	CV
BABY JAM IN SEMPLICE	Taborelli	CV
BABY SATIN ACC. TELA	Beccalli	CCL
BABY SATIN ACC.LIGHT	Beccalli	CCL
BABY SATIN IN SEMPLICE	Beccalli	CCL
BAILEY	My Way	CV
BAILEY ACC LIGHT	Taborelli	CI09/10
BAILEY ACC REPS	Taborelli	CI09/10
BAILEY IN SEMPLICE	Taborelli	CI09/10
BAJA REPS	Ambiente Uomo	CV
BAJA RESINATO	Ambiente Uomo	CV
BAJA SEMPLICE	Ambiente Uomo	CV
BAJA SOFT	Ambiente Uomo	CV
BAJADER	Tessil Due	CV
BAKER SEMPLICE	Tat	CV
BAKER STRETCH	Tat	CV
BALI ACC. LIGHT	Taborelli	CV
BALI ACC. REPS	Taborelli	CV
BALI ACC. TELA	Taborelli	CV
BALI IN SEMPLICE	Taborelli	CV
BALLARD	Corti	CV
BALLER	Cifra	CV
BALLY BOTTONATO LOFT	Frigerio	CV
BALLY BOTTONATO RESINATO	Frigerio	CV
BALLY BOTTONATO SOFT	Frigerio	CV
BALLY COT. 20000 LOFT	Frigerio	CV
BALLY COT. 20000 RESINATO	Frigerio	CV
BALLY COT. 20000 SOFT	Frigerio	CV
BALLY VISCOSA LANA LOFT	Frigerio	CV
BALLY VISCOSA LANA RESINATO	Frigerio	CV
BALLY VISCOSA LANA SOFT	Frigerio	CV
BALLY WO CARDATO 15000 LOFT	Frigerio	CV
BALLY WO CARDATO 15000 RESINATO	Frigerio	CV
BALLY WO CARDATO 15000 SOFT	Frigerio	CV
BALTIMORE ACC.LIGHT	Corti	CCL
BALTIMORE ACC.REPS	Corti	CCL
BALTIMORE IN SEMPLICE	Corti	CCL
BALTIMORE OVATTA 80 GR + LIGHT	Corti	SP
BAMBOO ACC. LIGHT	Lange	CV
BAMBOO ACC. TELA	Lange	CV
BAMBOO ACC.REPS	Lange	CV
BAMBOO IN SEMPLICE	Lange	CV
BANDANAS  SEMPLICE	Lange	CV
BANDANAS RESINATO	Lange	CV
BANDANAS SOFT	Lange	CV
BANDANAS TELA	Lange	CV
BANJO ACC. LIGHT	Taborelli	CV
