1 famiglia tintura per unito	100/188	2,63	189/399	1,4	400/599	1,26	600/799	1,13	999999999999	0,92		0	
fodera pol. Bric's.	500	0,85	1000	0,75		0							Beccalli
OF4	60	3,87	80/160	6300	161/240	5400	241/600	4000	601	3500			c
tintura art. smoke	1/143	2,6863	144/399	1,87	400/599	1,69	600/799	1,56	800/99999	1,27			Castagna
mercerizzo+bruciapelo+tintura+sanfor	1000/99999	1,35		0		0		0		0		0	Cerana
TINTURA STEALTH/STEALTH WHITE	60	4,8	100/194	2,65	195/400	1,35	401/600	1,2	601/99999	0,99		0	Colombo sost. Croserio
famiglia 1 active/stealh/maverick/jeff/playground	60	4,93	100/194	2,95	195/400	1,51	401/600	1,36	601/99999	1		0	Colombo sost. Croserio
famiglia 2 rocket/jet black	60	4,93	100/170	2,95	171/400	1,74	401/600	1,51	601/9999	1,26			Colombo sost. Croserio
famiglia 3 top gun	60	4,84	100/233	2,95	234/400	1,26	401/600	1,11	601/9999	0,93		0	Colombo sost. Croserio
Mabul	40/140	3950	141/240	2100	241/480	1800	480	1600					Comacina
tintura col.chiari rocket/loop/maverick	100/199	2,72	200/299	2,4	300/399	2,08	400/499	1,84	500/99999	1,6		0	Croserio
tintura col.nero rocket/loop/maverick	100/199	3,03	200/299	2,67	300/399	2,32	400/499	2,07	500/99999	1,78		0	Croserio
tintura col.chiari jet black/slam ball	100/199	2,89	200/299	2,55	300/399	2,21	400/499	1,96	500/99999	1,7		0	Croserio
tintura col.nero jet black/slam ball	100/199	3,2	200/299	2,82	300/399	2,45	400/499	2,17	500/99999	1,88		0	Croserio
tintura jacquard nero giardini	100/199	2,89	200/299	2,55	300/399	2,21	400/499	1,96	500/99999	1,7		0	Croserio
tintura per unito solo PA	0/226	2,63	227/399	1,45	400/599	1,34	600/799	1,21	800/999	1,1	1000/9999	0,9	Croserio
tintura active/stealth	0/187	2,8	188/99999	1,49		0		0		0		0	Croserio
tintura jeff	0/164	2,8	165/99999	1,45		0		0		0		0	Croserio
tintura maverick	0/150	2,8	151/99999	1,83		0		0		0		0	Croserio
tintura playground	0/145	2,8	146/99999	1,93		0		0		0		0	Croserio
tintura rocket/jet black	0/170	2,8	171/99999	1,7		0		0		0		0	Croserio
tintura top gun	0/225	2,8	226/99999	1,23		0		0		0		0	Croserio
finissaggio 100/102	0/310	2,8	311/99999	0,9		0		0		0		0	Croserio
tintura per satin party colorati	0/220	3,6	221/99999	1,65		0		0		0		0	Croserio
tintura per satin party nero	0/220	3,6	221/99999	1,83		0		0		0		0	Croserio
tintura in flow	0/49	2,86	49,10/89	2,3	89,10/160	2,23	161/400	1,57	401/800	1,27		0	Cst
tintura a jigger+spianatura	35/50	3,1	51/160	2,35	161/400	1,55	401/800	1,2				0	Cst
rufus+tintura		4,07		0		0		0		0		0	Cst
tintura a jigger+spianatura+TERMOFISSO	35/50	3,5	51/160	2,75	161/400	1,95	401/800	1,6				0	Cst
lav in barca per red sunset	35/50	2,74	51/160	2,15	161/400	1,45	401/800	1,15		0		0	Cst
purga +spianatura		0,75		0		0		0		0		0	Cst
tintura fodera geox nuova	50	2,74	51/160	2,15	161/299	1,45	300/499	1,15	500/9999	0,99		0	Cst
lav in barca per red sunset x gucci(tint reattivi)	35/50	3,28	51/160	2,58	161/400	1,74	401/800	1,38		0		0	Cst
stropiccio +taglio termico		1,23		0		0		0		0		0	Eurofiniss
morbido+ sanforizzo		0,36		0		0		0		0		0	Eurofiniss
brinatura lamina oro/argento		3,6		0		0		0		0		0	Eurofiniss
brinatura lamina colorata		3,8		0		0		0		0		0	Eurofiniss
stampa transfer		0,38		0		0		0		0		0	Eurofiniss
laser + stropiccior		4,05		0		0		0		0		0	Eurofiniss
stropiccio		0,95		0		0		0		0		0	Eurofiniss
brinatura satinata oro/arg e colorata		4,3		0		0		0		0		0	Eurofiniss
moore	1/299	6,63	300/9999	5,1		0		0		0		0	Furpile
dopp. tin.reattiva idror.	400/749	4500	750/1200	3780		0		0		0		0	Ghessner
purga e sbozzima		0,7		0		0		0		0		0	Gif
tint.J pressione	150/300	2,73	301/500	2,4		0		0		0		0	Inveruno
tintura the	1pezza	3,6	70/2pez	3	100/3-4pez	2,33	150/5-6pez	2,25	oltre 200	2,1		0	Jacchetti
batick 2 colori	14/28	4,4		0		0		0		0		0	Jacchetti
trattamento x red wind	0/69	2,7	70/9999	1,8		0		0		0		0	Jacchetti
batik doppio colore x cottonstone	14/28	6,6	0		0		0		0		0		Jacchetti
airo asciutto		0,56		0		0		0		0		0	Jetex 2
fam. 2000 OF double	150/240	4,7	241/480	4,12	481/700	3,6	701/1050	3,22	1051/9999	2,58			Lomazzi
tintura fod. Brics	500	0,6		0		0		0		0		0	Lomazzi
tintura + resinatura fodera escada	700	1,85		0		0		0		0		0	Lomazzi
fam.3500 J	150/240	2,6	241/480	2,1	481/700	1,75	701/999	1,58		0		0	Lomazzi
fam.2000 OF	150/240	2,35	241/480	2,06	481/700	1,8	701/1050	1,61	1051/9999	1,29		0	Lomazzi
fam.3500 OF	150/200	3,01	201/240	2,59	241/400	2,12	401/600	1,9	601/9999	1,49		0	Lomazzi
fam.3506 OF	150/240	3,01	241/480	2,1	481/700	1,68	701/999999	1,5		0		0	Lomazzi
fam.5000 J	150/240	5,12	241/480	3,57	0	0	0	0	0	0		0	Lomazzi
fresinatura + idro tartan	200/300	0,89	301	0,68						0		0	Lomazzi
fod. penny resin+Calandra	200/300	0,72	301	0,55								0	Lomazzi
fod. penny resin.+Caland.+idro	200/300	1,04	301	0,8								0	Lomazzi
fod. Escada resin+calandra	200/300	0,72	301	0,55								0	Lomazzi
fod. Bric's resin.+calandra	200/300	0,98	301	0,75								0	Lomazzi
tartan purga/tintura/finiss.	200/300	2,9	301/400	2,47	401/500	2,18	501/600	1,89	601	1,45		0	Lomazzi
lavoraz. Tender	100	2,5	200/300	2,03	301/400	1,76	401/500	1,56	501/9999	1,35		0	Lomazzi
lavoraz. Kenny	100	2,5	200/300	2,9	301/400	2,51	401/500	2,22	501/9999	1,93		0	Lomazzi
lavoraz. Jacquard lotto pa	150/300	1,95	301/500	1,72	501	1,15						0	Lomazzi
lavoraz. Jacquard lotto pl	150/300	2,21	301/500	1,95	501	1,3						0	Lomazzi
mustic		1,3		0		0		0		0		0	My Way
secret solido	0/100	3,1	101/250	2,58	251/400	2,19	401/499	1,93	500/99999	1,29		0	Novaresin
secret b.co+ pulipel+eurofoniss	51/99	4,88	100/199	4,32	200/9999	2,92		0		0		0	Novaresin
secret bianco	51/99	3,36	100/199	2,8	200	1,4		0		0		0	Novaresin
secret bianco x hot stone	51/99	3,48	100/199	2,9	200	1,45		0		0		0	Novaresin
secret solido x lace washed	0/100	4,2	101/250	3,5	251/400	2,97	401/499	2,62	500/9999	1,75		0	Novaresin
secret+ pulipel+eurofoniss	51/99	3,75	100/199	3,38	200/9999	2,45		0		0		0	Novaresin
secre biface x jimix	51/99	3,14	100/199	2,62	200/9999	1,31		0		0		0	Novaresin
secre biface +pulipel+eurofiniss	51/99	4,76	100/199	4,22	200/9999	2,87		0		0		0	Novaresin
secret	51/99	2,23	100/199	1,86	200/9999	0,93		0		0		0	Novaresin
secret x white ocean/sand bay	51/99	2,11	100/199	1,76	200/9999	0,88		0		0		0	Novaresin
secret x tattoo/gotan beach	51/99	2,28	100/199	1,9	200/9999	0,95		0		0		0	Novaresin
secret x blue sand	0/100	2,52	101/250	2,1	251/400	1,78	401/499	1,57	500/9999	1,05		0	Novaresin
plissè dis. 8604 onda	0/30	5,5	31/100	2,75	101/500	1,95	501/1000	1,85	1001/3000	1,75	>3000	1,7	Omniapiega
lavoraz.BC 379	0/30	6,5	31/100	4,2	101/500	3,59	501/1000	3,43	1001/3000	3,28	>3000	3,12	Omniapiega
wally bianco	150/299	8,09	300/9999	7,35		0		0		0		0	Piave Maitex
delavaggio H20+EUROFINISS		1,52		0		0		0		0		0	Pulipel
delave + spianatura+ strop.eurofiniss		2,26		0		0		0		0		0	Pulipell
delavag.ht stone + spianat. Eurof.		1,52		0		0		0		0		0	Pulipell
delave + spianatura		1,31		0		0		0		0		0	Pulipell
delavag.H20  + finiss. forte  Eurof.		1,52		0		0		0		0		0	Pulipell
J3	60	3,87	120/240	1,87	241/480	1,85	481	1,56					Sdc
OF3a	60	3,87	80/160	2,59	161/240	2,27	241/500	1,94	501	1,67			Sdc
J2	60	3,87	120/240	1,75	241/480	1,39	481	1,27					Sdc
OF3	60	3,87	80/160	2,95	161/240	2,56	241/600	1,88	601	1,46			Sdc
OF2	60	3,87	80/240	2,32	241/320	2,05	321/840	1,61	841/1000	1,45	1001	1,28	Sdc
J4	60	3,87	120/240	2,39	241/480	2,13	481	1,91					Sdc
OF1	60	3,87	120/240	2700	241/480	2400	481/1050	1950	1051	1800			Sdc
J1a	60	3,87	120/240	3650	241/480	2980	481	2780					Sdc
